time	FP1	FPZ	FP2	F7	F3	FZ	F4	F8	FT7	FC3	FCZ	FC4	FT8	T7	C3	CZ	C4	T8	TP7	CP3	CPZ	CP4	TP8	P7	P3	PZ	P4	P8	PO3	POZ	PO4	O1	OZ	O2
-200	-1.0184161637342883	-0.9181792116825223	-0.5610668048998182	-0.27025127342656785	-1.3465986217832708	-1.172260996719891	-1.091029164420709	-0.5861120209201117	-0.3080044082971469	-1.8901346874199463	-1.457210298673803	-1.4918709955696305	-0.7826259712486993	-0.43616920599487846	-1.8884952020648937	-1.757142896984234	-1.915444607667019	-0.5746397957598673	-0.7549516539586458	-2.2488119545426324	-2.431102508129024	-2.4333252845363758	-1.3898298705297132	-1.0079275344196441	-1.759997601833899	-3.147064677875959	-2.571181052392059	-1.5149795970814164	-2.008126730617223	-2.4608812270022042	-2.317737811912557	-1.460201021322502	-1.6560580688626785	-1.6543194013789702
-196	-1.1153900595160642	-0.8472710826463076	-0.4653438317947853	-0.3452541521415464	-1.4852187596016235	-1.2004594772547756	-1.2336510388698887	-0.43614995369466464	0.12282345412954063	-1.7472975209943815	-1.506564494143983	-1.380372043939212	-0.16561481314807067	0.20980736560302352	-1.3763909305154254	-1.733727927599076	-1.5968018729902524	-0.2842457883334043	-0.13614356483418802	-1.8033438875444674	-2.12282943189623	-1.972918386246582	-1.1574493617398918	-0.4660283911383023	-1.2426334588148615	-2.619834654869318	-2.0313348718855324	-1.2577346531584486	-1.449364181673959	-1.9124542426461877	-1.8530373526518527	-0.9240544415031989	-1.159935709885775	-1.264810916568317
-192	-0.8611639716340586	-0.5722337946749385	-0.25883570248103943	-0.34055372986642657	-1.3699804509860172	-1.0181862090153255	-1.1264499397447933	-0.31305795828934707	0.27797540952118677	-1.3775410617381076	-1.3597623075486807	-1.1681188315463278	0.11888194054152676	0.42877372991072127	-0.8096594193997457	-1.5809372623583096	-1.303389188336761	-0.41186931625329704	0.29785215779444335	-1.352059003277358	-1.760725374544769	-1.557367320897127	-1.0942226620704223	-0.06273607148782018	-0.7658236603475175	-2.101764435230054	-1.5870072801576205	-1.1569267482158205	-0.9436090564745803	-1.41954397796812	-1.4571529590056738	-0.45850944403280464	-0.6693540198592685	-0.8336205461436015
-188	-0.3713712682884519	-0.19118045222174537	-0.007493881955449054	-0.1584207858615845	-1.0012773250095544	-0.6713293773867823	-0.7417057733882982	-0.16844843285469974	0.18246915890400997	-0.8952206946659019	-1.0521904203552543	-0.8361235239853351	0.07155586015993406	0.30001109762740197	-0.39032456180253483	-1.3360772099140827	-1.0126717065039186	-0.6427409632667614	0.41236957803563384	-1.0482014391183774	-1.4454327785237897	-1.2348767487819552	-1.1528750628927982	0.07727619241039183	-0.5163226710635065	-1.7348048643181588	-1.3379867043092861	-1.2385119168483387	-0.6558595879208349	-1.1298601598823628	-1.2537349430855391	-0.23568624198536325	-0.3443216672787121	-0.5163590895013723
-184	0.2012409562752101	0.198657422756266	0.2389319384026066	0.22380348983526482	-0.41953670872623305	-0.21188668853192444	-0.10603386881998629	0.05807277918101132	-0.003513542227889417	-0.4060282398939904	-0.6210554226453953	-0.3710380187203541	-0.12281259863363832	0.06728214753568387	-0.20756034500647044	-1.017118451411515	-0.6613900644770012	-0.6492857916651543	0.21769966130129045	-0.9403575039010025	-1.1991736858609272	-0.9711940264023409	-1.209939238354499	-0.025435876037036002	-0.5541405663804706	-1.5392970999954843	-1.257290479346704	-1.4072008097406166	-0.6123170241155166	-1.0585125658013286	-1.2322757212998137	-0.2749232642862016	-0.2280502164566611	-0.37074622418259284
-180	0.732693372307079	0.5408328757936469	0.46837839365960604	0.7242794018578937	0.29322135374424535	0.3131990424831742	0.6822308284700986	0.3955233981160082	-0.08036025593257357	0.02122727962439337	-0.09708789711520148	0.21395541673524326	-0.2126579726333707	-0.015559530777688216	-0.20921629614460066	-0.6173448547035612	-0.19084860336279624	-0.2916786365297413	-0.13798399234743233	-0.9558742022222697	-0.9611008739047829	-0.6767551881869873	-1.1295298309418516	-0.23967353939102964	-0.7856903652381548	-1.4152790272266296	-1.2099610536544316	-1.4933938942397968	-0.7001946550810859	-1.0907927724001267	-1.2638514009991455	-0.4423199284830115	-0.23823909401348672	-0.33813375149233316
-176	1.1596887082384493	0.8266360738864553	0.6995854360083748	1.18842494187714	1.0130673621349389	0.853006837598562	1.4555925094093938	0.8110614994552573	0.0760717986093593	0.3541749408839772	0.4824915814138907	0.8604670145244595	-0.027236701851862485	0.17132015483040527	-0.25429847772290254	-0.127010911382438	0.4079193760586493	0.3141402594264461	-0.4421159613891051	-0.9526882743624241	-0.6359513385928941	-0.26689997248021036	-0.8382939675147063	-0.4120443750945604	-1.0192433569923927	-1.2130484550367122	-1.0341623995420062	-1.3520005907256258	-0.7459219675304853	-1.0586076948141498	-1.1872888773505894	-0.539353309700123	-0.23506012499590095	-0.30018854065445033
-172	1.4691703282456576	1.0712504359855382	0.953195986725339	1.4648008309574951	1.589867468634591	1.3409458364963343	2.015984768545992	1.2111880748686799	0.4425714600833286	0.5798044190073259	1.0579190227501538	1.4661132060228463	0.42610910427276494	0.5529921040878379	-0.20876787550192638	0.435997186990491	1.073590991170669	0.8824524857175783	-0.5244085179440316	-0.8073280433298872	-0.1652423586249708	0.27802711655039886	-0.3697118451797723	-0.4533972132679713	-1.070772645154225	-0.8294609168091633	-0.639593599611988	-0.9530980562942203	-0.6233777984139153	-0.8443475940367453	-0.9123426056715624	-0.4260074783536795	-0.1201490011758018	-0.17055536763522314
-168	1.6636095004994969	1.2787650791307426	1.219862338800942	1.4805192910008176	1.8872381401097544	1.6966558652003034	2.199774021316832	1.475772734730758	0.8566268064805663	0.6894293410060929	1.5437823495035083	1.9079269122590585	0.9643852090329044	0.9031466222848985	-0.02762614369868045	1.005717990243399	1.6834342437203182	1.129273411760675	-0.34336885723206073	-0.49073544020731646	0.4176883090917702	0.8807014204677879	0.14027549291003674	-0.37645703459107177	-0.8630154707100419	-0.2786889069196692	-0.07292056065268528	-0.41566657915073807	-0.3312740317563869	-0.4563927042882404	-0.48281937715700535	-0.11027877004914093	0.09117533243524784	0.03435164308815714
-164	1.7368031696338533	1.423569198828929	1.4486268722199491	1.276379701252854	1.8419370604740677	1.8534799767428372	1.9497568558103693	1.5104668102275756	1.1039426298879838	0.6853226405960816	1.8535717678955597	2.086240524746787	1.3330005373678346	0.9738030409068622	0.2303710276032598	1.479914780695032	2.0941266960678186	0.9350625252957493	0.0005165618482042412	-0.08268702754363477	0.9876854990818038	1.3879978621725222	0.5100636469360901	-0.2596724026799615	-0.45869701984943917	0.30789619606483043	0.49322032803940635	0.0418625994459848	0.010445474620613243	-0.027698958222670347	-0.057964142265601856	0.2541047328255493	0.27402073075729133	0.19481025587011275
