time	FP1	FPZ	FP2	F7	F3	FZ	F4	F8	FT7	FC3	FCZ	FC4	FT8	T7	C3	CZ	C4	T8	TP7	CP3	CPZ	CP4	TP8	P7	P3	PZ	P4	P8	PO3	POZ	PO4	O1	OZ	O2
-200	1.3179842200381935	1.1047466965439736	1.202336069886146	0.5476557002545703	0.15844540257981457	-0.3970466246117199	-0.6771612150261721	0.20863617903962764	0.6027121528667259	-0.19541011701361777	-1.2038390606050078	-1.0569552156465691	-1.0558758947417013	-0.36851507332267114	-0.5769292697645545	-1.4040079081373498	-1.4388074838551532	-1.3896400893412275	-1.8980191898109284	-1.4480671846069213	-2.184021467416784	-1.859185333326333	-0.8210510590804572	-1.780187244689114	-1.7907397701827963	-2.3847536980501207	-2.3477530420156087	-1.8691067648427266	-1.0886795493295955	-2.8844423221242215	-2.3832256733805166	-1.5523687561895934	-1.1605769366526497	-1.9109098863039564
-196	1.3811714614329211	1.0757865878600719	1.0199835274693447	0.22584982159336586	-0.34550404461413636	-0.9263518429256212	-1.2150543897469188	-0.24155858098077568	0.4916283773884421	-0.8503169991959294	-1.813038582992708	-1.6139126975320126	-1.6825282531220196	0.6794781667720313	-1.3118441071768037	-2.0189804979848396	-1.9469181250054637	-1.919117207450227	-1.509434338573383	-2.068608517192427	-2.6977679661349576	-2.260057205216145	-1.125501510639522	-1.8499431563400848	-2.289160722675015	-2.73987578653951	-2.6643476418937744	-1.9951051423245991	-1.6919215874870366	-3.0932662408932563	-2.5817699367189624	-1.7995623304708852	-1.4489744865074015	-2.0688581414441156
-192	0.750664709103289	0.4817867862935235	0.3690335145216186	-0.3767173280741487	-1.1108289929000772	-1.6894122319483282	-1.9887943217610036	-0.9754180287529739	-0.02076655434789431	-1.5961582620375927	-2.53881668403505	-2.3555004537239537	-2.170321697477618	0.840339896941456	-2.055598730619438	-2.710969918082217	-2.59567450821706	-2.350512498643163	-1.126763817803388	-2.663271420430427	-3.2601733125391172	-2.7720601488697514	-1.5144351682574124	-1.923164839657415	-2.7357420852254837	-3.1068255822896864	-3.001923076679906	-2.1464736407446154	-2.2740373554036273	-3.3330695544967957	-2.796456806751881	-2.0313677736493654	-1.7908376410092703	-2.2041702214857866
-188	-0.30853935998265547	-0.43401935587022517	-0.48848613973310645	-1.0133389208958499	-1.833360905786858	-2.3592145383398204	-2.6556076936431356	-1.6765421586623406	-0.7178900819773272	-2.182850832196351	-3.058421365645538	-2.9498076364428325	-2.2953371943696257	0.09636212861050693	-2.5507440502616503	-3.1841096797660717	-3.0780591887008155	-2.519893401459536	-0.9049685574571479	-2.9819340630584983	-3.612920036730915	-3.143587819745699	-1.788935776008579	-1.9726595828796207	-2.9211633131661534	-3.2862322247505467	-3.176798097219224	-2.240367168492176	-2.6062064105037015	-3.466522684881905	-2.8992900775188635	-2.1486616080395065	-2.0574293084651583	-2.2592635097683202
-184	-1.2898089853147123	-1.2308373420157255	-1.1395970554189976	-1.3751753533929452	-2.191669458577895	-2.6059405737886747	-2.867690079124525	-1.9721217105665256	-1.2417254416586458	-2.388718360591991	-3.1074821870548743	-3.0759427469794747	-1.9626127431909364	-1.07868373121671	-2.604902260879309	-3.2056884684689146	-3.106913320326574	-2.3583230912748103	-0.9131762362312863	-2.8712460922228464	-3.5614454656328483	-3.153503886844076	-1.8126393510830103	-1.9478310297425387	-2.7456049849808557	-3.1527662197621984	-3.06934570491239	-2.2175590935985894	-2.5679573947921654	-3.3996987257000333	-2.8181812692061876	-2.108475918214818	-2.1571488325969357	-2.2242286149135375
-180	-1.716310735183944	-1.5095530710254759	-1.2464244334222947	-1.265322920465645	-2.0105109164022195	-2.2699699344544237	-2.4613981184803913	-1.6495141941385996	-1.2864301172202157	-2.124458546043118	-2.6137430601886527	-2.6004192763477803	-1.268262025492099	-1.9841420600387407	-2.18447660848314	-2.7217011383004843	-2.5769498283174355	-1.9161643933555093	-1.087427136536737	-2.3458533227821237	-3.0683603209274515	-2.724833958421969	-1.5689955910169995	-1.7972028210087636	-2.2576415481787873	-2.712060444660274	-2.678487532528851	-2.0610017724453966	-2.1932122651993655	-3.1194472234168775	-2.564173691951377	-1.9332871388261945	-2.0653572030374274	-2.1227569526483663
-176	-1.3953895533617457	-1.1302113504484925	-0.7361035328400035	-0.7201298457083972	-1.3512668575502933	-1.4481290542280418	-1.5533462723614417	-0.797600088489946	-0.780657170232094	-1.4782654009689715	-1.7325146154530915	-1.660209532360803	-0.4683591115570699	-2.086539740062804	-1.4364458286258253	-1.88303422452436	-1.6383222300173816	-1.3404589857590379	-1.259060975710642	-1.5791915615265355	-2.270140403738051	-1.9688255737187685	-1.1554443807039991	-1.4992542228993173	-1.6189489323749493	-2.0925073570826496	-2.1166548675502472	-1.7957208111248102	-1.639044876728814	-2.6930677822784164	-2.2155907098144962	-1.6860684113848712	-1.8220080091251527	-1.9798538634858467
-172	-0.5167814480131844	-0.28799217866665794	0.15266066751083962	-0.0032270101283227814	-0.4750413882659678	-0.4436496484999485	-0.48649957653240306	0.2167403990518584	0.05208297060691409	-0.6694752557064355	-0.7634310107029846	-0.6001914724455386	0.13463175262792199	-1.315317389028386	-0.6161720141112769	-0.9656964516100076	-0.6317914708398774	-0.8172873237956176	-1.2529566256360272	-0.8151624182147399	-1.4066299164543992	-1.131747719768344	-0.7249547224814938	-1.0832128497431779	-1.0169483397557555	-1.4760538302348092	-1.548319455052356	-1.4742927514047217	-1.098156210987798	-2.2303640786126464	-1.8690711212652409	-1.4280495607560937	-1.5014980993508664	-1.7942789747713337
-168	0.4601285744017178	0.5970939382736716	0.997424421176356	0.5324401842025928	0.29967814608252724	0.39215406676465164	0.34677997143929934	0.9353053546179511	0.7997139672115682	0.061364736253064156	0.003340737187250955	0.20411117323363887	0.3290799549854219	-0.08684677608736215	0.038515560231717975	-0.23075897933396217	0.08506152757387936	-0.49972954266263586	-0.991670307993557	-0.24916920002970647	-0.703191278589603	-0.4714349198359711	-0.4096903790620668	-0.6236950739372537	-0.5734816179101608	-1.0068696711868412	-1.106675264425457	-1.1566866607072714	-0.7041231972083133	-1.829186315686619	-1.5874072273230535	-1.1854683130851662	-1.1742573946869574	-1.5374362429902948
-164	1.0575745079042218	1.1047800751449637	1.4147382938905926	0.635668991391306	0.7578158359468063	0.8326609709697851	0.7010615450325105	1.0527288887147956	1.079445359365727	0.5632163271989261	0.4223073710269771	0.5363370762635243	0.08664859809456492	0.9382149553453157	0.41938155783627445	0.19564674745277863	0.3218066982250681	-0.4490277755844535	-0.5540899620371841	0.05716380462519126	-0.27088186076437704	-0.13226611878856534	-0.26512461833773526	-0.21567061489013065	-0.30045476479966743	-0.7283639293401045	-0.835146425045999	-0.8912978149799139	-0.4809098827618019	-1.5336470565222005	-1.3748366798021865	-0.9472677683755907	-0.8827631451253632	-1.182548162335703
