time	FP1	FPZ	FP2	F7	F3	FZ	F4	F8	FT7	FC3	FCZ	FC4	FT8	T7	C3	CZ	C4	T8	TP7	CP3	CPZ	CP4	TP8	P7	P3	PZ	P4	P8	PO3	POZ	PO4	O1	OZ	O2
-200	0.30961921732932485	0.2708009176569764	0.23857369958724978	-0.3522117725062891	-0.0735774410893546	-0.09003764368213114	-0.4773259150851511	0.18371099187244752	-0.35707524328678036	-0.38205817245344087	-0.06988845747945528	-0.23736365079555843	0.89759742987032	-0.28668731378652956	-0.5343694673398116	-0.15417435726341136	0.13882079685448248	0.5257270322877792	-0.74237209371056	-0.319841056254628	-0.3968099047655921	-0.28452390360522406	-0.3180305651741466	-0.9605187749453761	-0.9490383243441735	-0.699917672297514	-0.9425353384063072	-0.8393787124422348	-0.4540191281299875	-0.8524410107071378	-1.357593532949359	-0.6891797167544038	-1.0258625719872776	-1.49892961600469
-196	0.19079676222313371	0.12120504646694352	0.11503417760892727	-0.47129171967725975	-0.13802841270883903	-0.325762092244699	-0.5832762107427927	-0.04344569880722223	-0.32464003480963516	-0.5294015990242598	-0.4378053832921544	-0.4486460972425979	0.864406821929521	-0.24200306771690475	-0.7286083679877112	-0.5608722553397625	0.09774754916784587	1.304279085681011	-0.4476611006878491	-0.5618161544920425	-0.7822253088275306	-0.4147746850508933	-0.0554150714071218	-0.7564201931929142	-0.9863696073424199	-1.0319420073204393	-1.0401965353452527	-0.7110248190094308	-0.6049323066697142	-1.1359018058708321	-1.597552891512526	-0.7605091910234719	-1.2075172632248106	-1.6793856578388162
-192	-0.17620444253303183	-0.24109856723472184	-0.2393699431336327	-0.7641966323631915	-0.5374191389820449	-0.7392573337963965	-0.958535191976904	-0.521754919165331	-0.47859856365485975	-0.8551437237130094	-0.9514547562419117	-0.8591733553175207	0.3878390779239987	-0.4236589659484914	-1.049023029539887	-1.0878821583938034	-0.1878491635348207	1.403445955547826	-0.21798931007184516	-0.9077240205735125	-1.2668648926220913	-0.7266871314775167	-0.020663473702950973	-0.499619959523493	-0.9914069746736043	-1.4243835174837944	-1.220910188453448	-0.6776501519260302	-0.7355369906928438	-1.3951259816232144	-1.7983627273931644	-0.7326953392603516	-1.2678245274005522	-1.703854198922364
-188	-0.7301385384245217	-0.7240495067435755	-0.7240046840508175	-1.1686664790211414	-1.2343864409752707	-1.2897053924423543	-1.5169382057037906	-1.0289086077461886	-0.763908622720364	-1.3862566912937395	-1.5664937456635137	-1.3997425997679915	-0.39613050122383514	-0.7798469046930632	-1.4845149479578927	-1.6847690301320482	-0.6808403117156443	0.8289486744932569	-0.18819780600239291	-1.3673251832772668	-1.7911297037679323	-1.1881209581895529	-0.23640014171519688	-0.3357402077781309	-1.0476753685249178	-1.87286114219836	-1.4927104673845277	-0.7724469880628814	-0.8620399810961108	-1.6408899981078224	-1.98996602986504	-0.6528382880894432	-1.2516403166641308	-1.6289528567195037
-184	-1.3156996932190101	-1.1824233502098584	-1.1887644499329235	-1.5519716700471022	-2.051131958551248	-1.8576513481922665	-2.0630795903570207	-1.3693205083607303	-1.0820908519127586	-2.0402398057924933	-2.1642286722854815	-1.9228197287650368	-1.2224538295399436	-1.1789728373325228	-1.9461244295576385	-2.2385570946442073	-1.2467287747377493	-0.16319757658763004	-0.4075261046134142	-1.8889123153679788	-2.2706546726118746	-1.699546094418165	-0.6418292506225789	-0.3711368134188198	-1.2233078448881292	-2.352693790217856	-1.8381655169807822	-1.005871293389374	-1.0431717607863495	-1.9282181214287144	-2.233640426718388	-0.6535950882622455	-1.3003575769018492	-1.6104141433111092
-180	-1.7325342849858179	-1.4709939919526012	-1.490061636977397	-1.7661552384608086	-2.729860775731055	-2.285233968687126	-2.3762617051211214	-1.4556211196388138	-1.3430894579356243	-2.646313422197485	-2.59651827156637	-2.266109460831358	-1.8011754705730134	-1.4845572672555762	-2.3153085650162244	-2.6239433222326016	-1.7177101330304474	-1.2031909196993564	-0.8264077880975419	-2.3837604462520914	-2.633542292621575	-2.1407172625853206	-1.1276633711000672	-0.6254768355790259	-1.5421978196308	-2.824732296487621	-2.219790929911924	-1.3597991432190588	-1.348899241856503	-2.319491142138843	-2.5804555350956937	-0.882311580337685	-1.5702264269285038	-1.8088816358672781
-176	-1.8078951789987359	-1.4915360174668386	-1.5335777959251464	-1.708536620594807	-3.0266792697784135	-2.4329376159277354	-2.307404035464648	-1.3210718598390527	-1.4932076893299886	-3.005225889247861	-2.7441976001119723	-2.32159232507116	-1.9342521380226718	-1.6138776500009733	-2.499405377753329	-2.758815758415519	-1.9671158740923478	-1.9753915021613586	-1.3249341216014572	-2.7639253069713443	-2.8487415241796894	-2.423025601945193	-1.5841393430768487	-1.0298495266662373	-1.9717018554497878	-3.2456247724604923	-2.591043227329705	-1.7894511177660057	-1.8191990806425595	-2.83946775673179	-3.0342497749015114	-1.416735168694816	-2.138346905077878	-2.2896189631828907
-172	-1.4632835351239235	-1.218047019744246	-1.292208191470154	-1.360122796439372	-2.802839510516894	-2.229705804917409	-1.8387508345909989	-1.0678085061770286	-1.5102720222489414	-2.965968839786429	-2.561269515246673	-2.0735785908798294	-1.5901524980451873	-1.5529427489173313	-2.46582221362303	-2.6345963411571214	-1.9536561916617305	-2.3354701936884656	-1.763548012095626	-2.972961418275244	-2.928794615026769	-2.517516368231895	-1.9324649523582387	-1.4664318524530109	-2.4319446025482847	-3.575509539159962	-2.9050099776356477	-2.227946275808082	-2.433483832891078	-3.446361771465399	-3.538872948294819	-2.2130286637699395	-2.947750560947538	-2.973348371628149
-168	-0.7504132371076165	-0.698276339198478	-0.8036887029383799	-0.7900431136211776	-2.080309147350874	-1.6997492270470467	-1.0830681296660285	-0.794188557050195	-1.381771203367137	-2.488547080432721	-2.0885431713779363	-1.5912835557815896	-0.9080596543273954	-1.3333313431455027	-2.2413861694966837	-2.3091576041095125	-1.7185662941458395	-2.3239426554180094	-2.0311958738542675	-2.9951679630952763	-2.9083833621028385	-2.447955363768848	-2.131061071737508	-1.827581877862606	-2.8222734856875547	-3.781395187367568	-3.1190850655961366	-2.5966660910850394	-3.1064629476317887	-4.035619725528813	-3.9964518446157395	-3.1127569596856	-3.820567836652211	-3.6652634051290343
-164	0.1596827204964218	-0.0356451458329039	-0.15546648165075116	-0.13051648405024593	-1.037656543019207	-0.9546433663107655	-0.22581690492837175	-0.5437170849424013	-1.094452139952228	-1.6652829605019857	-1.4328063690250288	-0.9851314996642713	-0.12910592523403644	-1.0045156453520254	-1.8860102844304816	-1.8701409054269686	-1.3446315493013596	-2.084028954012625	-2.077708000659443	-2.8456947731650426	-2.8131415772938624	-2.2577671947696567	-2.159755939752829	-2.06571435406802	-3.0557339114286903	-3.8377938173673867	-3.1955573478127306	-2.8171255517405913	-3.714559784093928	-4.476284015798079	-4.304790009120464	-3.9054810902220054	-4.532066333772476	-4.145850647949481
